
Designator,Mid X,Mid Y,Layer,Rotation
J1,-79.4001,53.9125,TOP,0
PWR_IN,-71.2,54.7901,TOP,270
U1,-84.5,67.2,TOP,180
U2,-65.8,66.6001,TOP,0
U3,-65.9,77.7999,TOP,0
U4,-84.3999,75.6001,TOP,180
C1,-75.2363,72.2,TOP,0
C2,-75.3364,75.0999,TOP,0
C3,-75.4365,77.7999,TOP,0
C4,-76.9,67.5,TOP,-90
C5,-57.1,71.9,TOP,90
C6,-56.9001,65.2,TOP,90
C7,-57.3001,77.7001,TOP,270
C8,-64.8,58.9999,TOP,270
C9,-71.6001,64.9364,TOP,90
C10,-75.4637,79.3999,TOP,180
PWR,-86.3001,43.07,TOP,-90
D1,-81.6,45.6999,TOP,270
D2,-81.7001,41.5,TOP,270
R1,-75.0999,45.8,TOP,90
R2,-75.0999,41.6001,TOP,90
BOOT0,-5.16001,64.3001,TOP,0
R16,-8.50001,70.0001,TOP,180
R17,-4.19999,68.9,TOP,0
R3,-24,39.9999,TOP,0
R4,-24,38.2001,TOP,0
R5,-26.5001,51.6999,TOP,180
R6,-26.4,49.9001,TOP,180
C14,-35.2364,37.4,TOP,0
C15,-35.2364,35.5999,TOP,0
C16,-32.0637,54.6001,TOP,0
C17,-32.0637,55.8,TOP,0
C12,1.0668,37.9001,TOP,180
C13,4.33319,59.3001,TOP,180
C11,-54.6001,36.7637,TOP,90
SW1,-64.6501,37.05,TOP,180
Y2,-29.5999,39.75,TOP,90
Y1,-32.5501,50.8,TOP,-90
LCD1,-60.1599,91.7001,TOP,180
LCD_VCC,-50.2001,86.2,TOP,180
POT,-86.5,28.86,TOP,-90
LCD_BRT,-40.34,86.2,TOP,180
U10,-32.5999,64.6999,TOP,0
U11,-74.71,25.21,TOP,270
U12,-56.4901,25.19,TOP,270
R12,-67.0001,28.2001,TOP,270
R13,-68.6001,31.2001,TOP,0
R14,-66.6001,19,TOP,0
R15,-67.0999,23.5,TOP,270
USR_SW,18.55,20.45,TOP,270
I2C,-58.47,-4.57761,TOP,180
UART3,3.55001,-4.57761,TOP,180
C18,23.2,31.0332,TOP,270
D3,14.7,31.05,TOP,270
R10,20.6,31.2001,TOP,90
R11,16.2,30.9999,TOP,90
R9,18.2,31.2001,TOP,270
SPI1,-43.8099,-4.57761,TOP,0
SPI2,-25.6101,-4.57761,TOP,0
U5,-9.50001,49.8,TOP,270
C19,-18.4,37.9999,TOP,0
C20,-5.19999,33.4,TOP,-90
C21,-21.3,40.3636,TOP,270
C22,-18.2636,33.9999,TOP,0
C23,-24.1,60.6364,TOP,90
C24,-26.7,60.6092,TOP,90
C25,-25.4,60.6092,TOP,90
J24,-28.16,70.3999,TOP,180
CAN,-70.61,-4.57761,TOP,180
J23,-20.34,70.3999,TOP,180
R7,-10,38.6999,TOP,180
R8,-16.1,60.5729,TOP,90
R20,-25.1,27.2999,TOP,90
C26,-17.6,60.6092,TOP,90
C27,-19,60.6092,TOP,90
C28,-20.2,60.6092,TOP,90
C29,-21.6,60.6092,TOP,90
C30,-22.8,60.6092,TOP,90
UART1,-10.47,-4.57761,TOP,0
PIM_100,-20.54,43.64,TOP,0
USR_USB,28.6276,46.6001,TOP,90
UART2,20.35,-4.57761,TOP,0
R18,4.29999,51.2,TOP,0
R19,3.89999,52.9999,TOP,0
R32,20.7,50.6001,TOP,180
R23,20.8,52.3001,TOP,0
J4,20.03,54.6999,TOP,180
J5,25.43,78.9,TOP,0
ETH_INT,-85.2701,15.66,TOP,90
PWM_OUT,34.5999,22.17,TOP,90
ADC_IN,2.97,85.0999,TOP,180
PWM_LED,-23.67,85.0999,TOP,0
GPIO,-10.37,85.0999,TOP,180
VDD,-32.1701,58.2,TOP,0
Q2,15.4,40.1475,TOP,0
D4,13.95,78.2,TOP,0
D5,19.3,40.5501,TOP,270
L1,-10.0364,37.1,TOP,0
R33,20.9,44.6999,TOP,0
R31,17.9,78.3001,TOP,180
ST_DONGLE,33.7701,63.88,TOP,90
JTAG_DONGLE,27.5699,74.6001,TOP,180
SWIO-TDI,35.07,78.6,TOP,0
