
Designator,Mid X,Mid Y,Layer,Rotation
U1,9.14001,35.15,TOP,0
U2,11.0787,6.6531,TOP,0
PIM_100,6.96001,21.54,TOP,0
C8,-5.39999,37.9999,TOP,180
C9,-7.20001,37.9999,TOP,180
C3,-5.29999,27.4,TOP,180
C5,-7.30001,27.7,TOP,270
R3,1.2,52.2,TOP,0
R4,3.69999,51.6001,TOP,90
R1,-9.20001,27.8,TOP,-90
R2,-10.8,27.8,TOP,90
R7,-1,2.4,TOP,270
R8,-0.900001,8.90001,TOP,270
C4,-9.20001,39.6999,TOP,90
C6,-8.90001,30.8,TOP,-270
C7,-9.00001,32.5001,TOP,-180
C11,-9.50001,42.9445,TOP,180
SB7,31.9364,30.5999,TOP,0
SB8,31.8635,28.9999,TOP,0
C10,-5.09999,41.6999,TOP,90
L1,-7.50001,42.9669,TOP,90
L2,-1,5.76359,TOP,270
SB1,-5.49999,45.9636,TOP,270
SB2,-1.0636,49.6999,TOP,180
SB3,-9.50001,46.0365,TOP,90
SB4,5.09999,51.5635,TOP,90
SB5,31.8635,27.4,TOP,0
SB6,31.8635,25.7,TOP,0
U6,-5.39999,17.7,TOP,0
SB9,-6.29999,21.6364,TOP,270
SB10,-3.69999,8.76361,TOP,90
SB11,-4.99999,21.5636,TOP,270
SB12,-5.39999,8.56361,TOP,90
J1,27.4,16.44,TOP,270
C12,26.7,41.7365,TOP,270
C13,25.1,41.6364,TOP,-90
C15,29.9001,-1.2636,TOP,270
C16,28.2999,-1.3636,TOP,-90
C17,26.7,-1.4364,TOP,270
C14,25.1,-1.4636,TOP,-90
C1,23.5,-1.5636,TOP,-90
C2,31.4,-1.3636,TOP,270
C18,16.6,-6.50001,TOP,0
C19,26.2001,8.10001,TOP,90
C20,-0.599999,-4.89999,TOP,0
C21,-7.00001,-5.09999,TOP,0
C22,-0.836399,-8.40001,TOP,180
C23,-3.76359,1.7,TOP,-180
C24,-6.90001,4.46359,TOP,90
C25,-7.70001,7.66361,TOP,90
C26,-8.40001,4.36359,TOP,90
C27,-9.80001,4.26359,TOP,90
C28,-11.1,4.36359,TOP,90
C29,-12.4,4.36359,TOP,90
C30,-13.6,4.46359,TOP,90
C31,-9.20001,7.66361,TOP,90
C32,-10.8,7.76361,TOP,90
C33,-12,13.2364,TOP,90
C34,-13.3,13.1364,TOP,90
D1,37.45,-6.29999,TOP,0
R5,37.5001,-4.79999,TOP,180
